Nom;Molecule;Dosage;Unite;Forme;Presentation;PPV;Remboursement
LORAZEPAM PHARMA;LORAZEPAM;2.5;MG;COMPRIME;1 BOITE 30 COMPRIME; 21,00   ;70%
CO-OLMETEC;OLMESARTAN / HYDROCHLOROTHIAZIDE;20 / 12.5;MG / MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 252,00   ;70%
CO-OLMETEC;OLMESARTAN / HYDROCHLOROTHIAZIDE;20 / 12.5;MG / MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 252,00   ;70%
IMODIUM;LOPERAMIDE;2;MG;GELULE;1 BOITE 20 GELULE; 30,50   ;0%
TETRAXIM;VACCIN D.T.COQ.P;;NA;PREPARATION INJECTABLE;1 SERINGUE .5 ML; 144,00   ;70%
GELUPRANE;PARACETAMOL;500;MG;GELULE;1 BOITE 16 GELULE; 16,60   ;70%
LETROZOL GT;LETROZOLE;2.5;MG;COMPRIME SECABLE;1 BOITE 60 COMPRIME SECABLE; 1 110,00   ;70%
LETROZOL GT;LETROZOLE;2.5;MG;COMPRIME SECABLE;1 BOITE 60 COMPRIME SECABLE; 1 110,00   ;70%
MELIX;GLIBENCLAMIDE;5;MG;COMPRIME;1 BOITE 30 COMPRIME; 19,50   ;70%
CLAVULIN;AMOXICILLINE / ACIDE CLAVULANIQUE;1 / 200;G / MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 47,80   ;70%
NOLVADEX;TAMOXIFENE;10;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 132,50   ;70%
SANDOSTATINE *;OCTREOTIDE;100;µG;SOLUTION INJECTABLE;1 BOITE 6 AMPOULE; 532,00   ;70%
BIAFINE;TROLAMINE;0.67;G;EMULSION POUR APPLICATION LOCALE;1 TUBE 93 G; 44,00   ;0%
SUPRIMASE;FLUCONAZOLE;50;MG;GELULE;1 BOITE 7 GELULE; 94,90   ;70%
UNASYN;SULTAMICILLINE;375;MG;COMPRIME ENROBE;1 BOITE 8 COMPRIME; 55,80   ;70%
FOLINATE DE CALCIUM AGUETTANT 50 MG;FOLINATE DE CALCIUM;50;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 10 FLACON; 677,00   ;70%
SINGULAIR;MONTELUKAST;4;MG;GRANULE;1 BOITE 28 SACHET; 299,00   ;0%
ELOXATINE 5 MG/ML;OXALIPLATINE;50;MG;POUDRE POUR SOLUTION POUR PERFUSION;1 BOITE 1 FLACON 10 ML; 1 203,00   ;70%
SANDOCAL;CALCIUM;500;MG;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 10 SACHET; 28,50   ;70%
TOPAAL;ACIDE ALGINIQUE / ALUMINIUM HYDROXYDE;200 / 30;MG / MG;COMPRIME A CROQUER;1 BOITE 42 COMPRIME; 35,00   ;0%
STIMOL;CITRULINE MALEATE;1;G;SOLUTION BUVABLE;1 BOITE 20 AMPOULE BUVABLE; 46,00   ;0%
OSSOPAN;COMPLEXE OSSEINE HYDROXYAPATITE;600;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 25,40   ;0%
INALAP 5 MG;ENALAPRIL;5;MG;COMPRIME;1 BOITE 28 COMPRIME; 79,00   ;70%
VACCIN ATNTIDIPHTERIQUE ANTITETANIQUE;ANATOXINE TETANIQUE / ANATOXINE DIPHTERIQUE;;NA / NA;PREPARATION INJECTABLE;1 AMPOULE 1 ML; 15,00   ;70%
NOMYC;FLUCONAZOLE;150;MG;GELULE;1 BOITE 1 GELULE; 25,00   ;70%
NOMYC;FLUCONAZOLE;150;MG;GELULE;1 BOITE 1 GELULE; 25,00   ;70%
CORTIVENT;BECLOMETASONE;50;µG;SUSPENSION POUR INHALATION;1 FLACON 200 DOSE; 55,00   ;70%
CORTIVENT;BECLOMETASONE;50;µG;SUSPENSION POUR INHALATION;1 FLACON 200 DOSE; 55,00   ;70%
CATAFLAM;DICLOFENAC;50;MG;COMPRIME ENROBE;1 BOITE 20 COMPRIME; 45,50   ;70%
OXONE 1G/5 ML IM;CEFTRIAXONE;1;G;POUDRE POUR PREPARATION INJECTABLE;1 BOITE 1 FLACON + AMPOULE; 85,00   ;70%
SULFOBACTIN;THIAMPHENICOL;500;MG;COMPRIME;1 BOITE 50 COMPRIME; 134,60   ;70%
TRIATEC;RAMIPRIL;1.25;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 103,00   ;70%
CANDICID;FLUCONAZOLE;150;MG;GELULE;1 BOITE 4 GELULE; 114,00   ;70%
TRINOMYC;FLUCONAZOLE;2;MG;SOLUTION POUR PERFUSION;1 FLACON 25 ML; 78,00   ;70%
SPASMAG;MAGNESIUM SULFATE / LEVURE CEREVISIAE;1.2 / 100;G / MG;SOLUTION BUVABLE;1 BOITE 30 AMPOULE BUVABLE; 52,90   ;0%
DOXINE;DOXYCYCLINE;100;MG;COMPRIME ENROBE;1 BOITE 5 COMPRIME; 17,30   ;70%
GONAL-F 150 UI;FOLLITROPINE ALFA;150;UI;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 616,00   ;0%
DOPAMINE AGUETTANT 40MG/ML;DOPAMINE;40;MG;SOLUTION POUR PERFUSION;1 BOITE 50 AMPOULE INJECTABLE; -     ;0%
AVIRANZ;EFAVIRENZ;200;MG;GELULE;1 BOITE 90 GELULE; 543,00   ;70%
CISPLATINE EBEWE;CISPLATINE;50;MG;SOLUTION POUR PERFUSION;1 BOITE 1 FLACON; 133,00   ;70%
ALGANTIL;IBUPROFENE;200;MG;COMPRIME ENROBE;1 BOITE 20 COMPRIME; 19,70   ;70%
GASTROGRAFINE;AMIDOTRIZOATE DE MEGLUMINE ET DE SODIUM;370;MG;SOLUTION BUVABLE OU RECTALE;1 FLACON 100 ML; 150,70   ;0%
TILCOTIL;TENOXICAM;20;MG;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 85,60   ;70%
PREMOCEFAL;CEFADROXIL;500;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 70,00   ;70%
MIBRAL;AMLODIPINE;5;MG;COMPRIME;1 BOITE 60 COMPRIME; 125,00   ;70%
SOLIAN 100 MG;AMISULPRIDE;100;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME SECABLE; 139,60   ;0%
SOLIAN 100 MG;AMISULPRIDE;100;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME SECABLE; 139,60   ;0%
COLPOTROPHINE;PROMESTRIENE;10;MG;CAPSULE VAGINALE;1 BOITE 20 CAPSULE GYNECOLOGIQUE; 65,40   ;0%
CARTEOL LP;CARTEOLOL;1;%;COLLYRE LP;1 FLACON 3 ML; 72,80   ;70%
BREXIN;PIROXICAM BETA CYCLODEXTRINE;20;MG;COMPRIME EFFERVESCENT;1 BOITE 20 COMPRIME; 100,40   ;70%
SALBUMOL;SALBUTAMOL;0.5;MG/ML;SOLUTION INJECTABLE;1 BOITE 6 AMPOULE INJECTABLE; 25,60   ;70%
MEZOR 20 MG;ESOMEPRAZOLE;20;MG;GELULE GASTRO-RESISTANTE;1 BOITE 14 GELULE GASTRO-RESISTANTE; 86,90   ;0%
BEROCCA;MULTIVITAMINES ET MINERAUX;;NA;COMPRIME EFFERVESCENT;1 BOITE 20 COMPRIME EFFERVESCENT; 70,00   ;0%
ROXAM;PIROXICAM;20;MG;SOLUTION INJECTABLE;1 BOITE 2 AMPOULE INJECTABLE; 23,00   ;70%
DECAPEPTYL LP;TRIPTORELINE;11.25;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON + AMPOULE; 3 546,00   ;70%
GRISEO SALICYLEE;GRISEOFULVINE / ACIDE SALICYLIQUE;5 / 3;% / %;POMMADE;1 TUBE 15 G; 12,60   ;0%
DECAPEPTYL LP;TRIPTORELINE;3.75;MG;POUDRE POUR SUSPENSION INJECTABLE;1 BOITE 1 FLACON + AMPOULE; 1 456,00   ;70%
NOCOL;SIMVASTATINE;40;MG;COMPRIME PELLICULE;1 BOITE 60 COMPRIME; 394,00   ;70%
IBUPHIL;IBUPROFENE;2;%;SIROP;1 FLACON 100 ML; 16,50   ;70%
CEPHYL;MULTIPLE;;NA;COMPRIME;1 BOITE 20 COMPRIME; 26,00   ;0%
RISPERDAL;RISPERIDONE;2;MG;COMPRIME PELLICULE SECABLE;1 BOITE 60 COMPRIME; 577,00   ;70%
RISPERDAL;RISPERIDONE;2;MG;COMPRIME PELLICULE SECABLE;1 BOITE 60 COMPRIME; 577,00   ;70%
TOPSYNE APG;FLUOCINONIDE;0.05;%;POMMADE;1 TUBE 15 G; 24,20   ;0%
LAMISIL;TERBINAFINE;1;%;CREME;1 TUBE 15 G; 52,80   ;70%
LANTUS;INSULINE HUMAINE;100;UI;SOLUTION INJECTABLE LP;1 BOITE 1 FLACON; 517,00   ;70%
DIPROSALIC;BETAMETHASONE / ACIDE SALICYLIQUE;15 / 900;MG / MG;POMMADE;1 TUBE 30 G; 37,60   ;0%
CIPROXINE;CIPROFLOXACINE;100;MG;SOLUTION POUR PERFUSION;1 FLACON 50 ML; 253,00   ;70%
MODURETIC;AMILORIDE / HYDROCHLOROTHIAZIDE;5 / 50;MG / MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 42,40   ;70%
SYSTRAL;CHLORPHENOXAMINE;15;MG;CREME;1 TUBE 20 G; 16,60   ;0%
SYSTRAL C;CHLORPHENOXAMINE / CAFEINE;20 / 50;MG / MG;COMPRIME DRAGEIFIE;1 BOITE 20 COMPRIME DRAGEFIE; 14,00   ;0%
ACLASTA 5MG/100ML;ACIDE ZOLEDRONIQUE;5;MG/100ML;SOLUTION POUR PERFUSION;1 BOITE 1 FLACON; -     ;0%
ACLASTA 5MG/100ML;ACIDE ZOLEDRONIQUE;5;MG/100ML;SOLUTION POUR PERFUSION;1 BOITE 1 FLACON; -     ;0%
PUREGON;FOLLITROPINE BETA;50;UI;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 AMPOULE INJECTABLE; 338,90   ;0%
BACTOX;AMOXICILLINE;500;MG;PREPARATION INJECTABLE;1 BOITE 1 FLACON; 10,40   ;70%
AVOCOMB;LAMIVUDINE / ZIDOVUDINE;150 / 300;MG / MG;COMPRIME PELLICULE;1 BOITE 60 COMPRIME; 615,00   ;70%
AVOCOMB;LAMIVUDINE / ZIDOVUDINE;150 / 300;MG / MG;COMPRIME PELLICULE;1 BOITE 60 COMPRIME; 615,00   ;70%
ISOLONE;PREDNISOLONE;50;MG;COMPRIME;1 BOITE 20 COMPRIME; 85,80   ;70%
STRATTERA 40 MG;ATOMOXETINE;40;MG;GELULE;1 BOITE 28 GELULE; 1 066,30   ;0%
INSULINE MIXTARD 30 HM PENFILL;INSULINE HUMAINE;100;UI;SUSPENSION INJECTABLE INTERMEDIAIRE;1 CARTOUCHE 3 ML; 73,00   ;70%
GONAL-F 1050 UI;FOLLITROPINE ALFA;1050;UI;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 4 055,80   ;0%
GONAL-F 1050 UI;FOLLITROPINE ALFA;1050;UI;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 4 055,80   ;0%
OXIFLOR;OFLOXACINE;200;MG;COMPRIME PELLICULE;1 BOITE 10 COMPRIME; 65,00   ;70%
INNOHEP 10 000 UI ANTI-XA/0,5 ML;TINZAPARINE;20000;UI;SOLUTION INJECTABLE;1 BOITE 2 SERINGUE PREREMPLIE; 304,40   ;70%
OXALIPLATINE WIN 5 MG/ML;OXALIPLATINE;50;MG;POUDRE POUR SOLUTION POUR PERFUSION;1 FLACON 36 ML; 1 049,00   ;70%
PECTRYL;BROMHEXINE / SULFOGAICOLE;40 / 4;MG / G;SIROP;1 FLACON 150 ML; 22,70   ;0%
GENTAMICINE LLORENTE;GENTAMICINE;120;MG;SOLUTION INJECTABLE;1 BOITE 6 AMPOULE INJECTABLE; 111,90   ;70%
THIOPENTAL BIOCHEMIE;THIOPENTAL;1;G;POUDRE POUR PREPARATION INJECTABLE;1 BOITE 25 FLACON; -     ;0%
ANTINOREX;CYPROHEPTADINE;4;MG;COMPRIME;1 BOITE 30 COMPRIME; 17,10   ;0%
ELUDRIL;CHLORHEXIDINE / TETRACAINE;50 / 15;% / %;COLLUTOIRE;1 FLACON 55 ML; 22,70   ;0%
STOCRIN;EFAVIRENZ;600;MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME; 705,00   ;70%
MOBIC;MELOXICAM;15;MG;SUPPOSITOIRE;1 BOITE 12 SUPPOSITOIRE; 122,40   ;70%
ABBOTICINE;ERYTHROMYCINE;200;MG;GRANULE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 26,80   ;70%
STARMOX;AMOXICILLINE;500;MG;COMPRIME DISPERSIBLE;1 BOITE 12 COMPRIME; 34,60   ;70%
ORACILLINE;PHENOXYMETHYLPENICILLINE;1;MUI;COMPRIME SECABLE;1 BOITE 12 COMPRIME; 40,30   ;70%
TROXINE;ROXITHROMYCINE;300;MG;COMPRIME PELLICULE;1 BOITE 16 COMPRIME; 203,00   ;70%
AVANDAMET;ROSIGLITAZONE / METFORMINE;1 / 500;MG / MG;COMPRIME PELLICULE;1 BOITE 14 COMPRIME PELLICULE; 28,70   ;0%
AVANDAMET;ROSIGLITAZONE / METFORMINE;1 / 500;MG / MG;COMPRIME PELLICULE;1 BOITE 14 COMPRIME PELLICULE; 28,70   ;0%
ALVITYL;VITAMINES;;NA;COMPRIME ENROBE;1 BOITE 30 COMPRIME ENROBE; 31,40   ;0%
MUCOSTEINE;CARBOCYSTEINE;5;%;SIROP;1 FLACON 250 ML; 37,20   ;0%
OTRIVINE;XYLOMETAZOLINE;0.1;%;SOLUTION POUR PULVERISATION NASALE;1 FLACON 10 ML; 19,35   ;0%
REVOLADE 50MG;ELTROMBOPAG;50;MG;COMPRIME PELLICULE;1 BOITE 14 COMPRIME PELLICULE; 7 348,00   ;0%
BACTRIM;SULFAMETHOXAZOLE / TRIMETHOPRIME;400 / 80;MG / MG;SOLUTION POUR PERFUSION;1 BOITE 30 AMPOULE INJECTABLE; -     ;0%
TRIGYNON;LEVONORGESTREL / ETHINYLESTRADIOL;0.05 / 0.03;MG / MG;COMPRIME ENROBE;1 BOITE 21 DRAGEE; 21,40   ;0%
MENCEVAX AC;VACCIN ANTIMENINGOCOCCIQUE A ET C;;NA;PREPARATION INJECTABLE;1 BOITE 1 FLACON; 180,00   ;70%
TENOCAN;ATENOLOL;100;MG;COMPRIME;1 BOITE 28 COMPRIME; 83,10   ;70%
THEOSTAT LP;THEOPHYLLINE;100;MG;COMPRIME SECABLE LP;1 BOITE 30 COMPRIME; 17,50   ;70%
DICLOMAX;DICLOFENAC;75;MG;GELULE LP;1 BOITE 20 GELULE; 51,00   ;70%
DIPICOR;AMLODIPINE;10;MG;COMPRIME;1 BOITE 60 COMPRIME; 186,50   ;70%
HYZAAR;LOSARTAN / HYDROCHLOROTHIAZIDE;50 / 12.5;MG / MG;COMPRIME ENROBE;1 BOITE 28 COMPRIME; 156,70   ;70%
ALFAPROXINE;CIPROFLOXACINE;500;MG;COMPRIME PELLICULE;1 BOITE 2 COMPRIME; 36,00   ;70%
ALFAPROXINE;CIPROFLOXACINE;500;MG;COMPRIME PELLICULE;1 BOITE 2 COMPRIME; 36,00   ;70%
CLARINASE REBETABS;LORATADINE / PSEUDOEPHEDRINE;60 / 5;MG / MG;COMPRIME ENROBE LM;1 BOITE 14 COMPRIME; 73,80   ;0%
MIVACRON;MIVACURIUM;20;MG;SOLUTION INJECTABLE;1 BOITE 10 AMPOULE INJECTABLE; -     ;0%
URBANYL;CLOBAZAM;10;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 23,55   ;70%
NEOCLAV 100MG/12.5MG/ML ENFANT;AMOXICILLINE / ACIDE CLAVULANIQUE;100 / 12.5;MG / MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 63,00   ;70%
NAVELBINE;VINORELBINE;10;MG;SOLUTION INJECTABLE;10 FLACON 1 ML; 1 764,00   ;70%
SAVARINE;PROGUANIL / CHLOROQUINE;200 / 100;MG / MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME; 167,70   ;70%
TETRALYSAL;LYMECYCLINE;150;MG;GELULE;1 BOITE 16 GELULE; 49,60   ;0%
AMOXIL;AMOXICILLINE;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 28,90   ;70%
LEVITRA;VARDENAFIL;20;MG;COMPRIME PELLICULE;1 BOITE 2 COMPRIME; 320,00   ;0%
BUSCOPAN;N-BUTYL HYOSCINE;20;MG;SOLUTION INJECTABLE;1 BOITE 6 AMPOULE INJECTABLE; 23,30   ;70%
BUSCOPAN;N-BUTYL HYOSCINE;20;MG;SOLUTION INJECTABLE;1 BOITE 6 AMPOULE INJECTABLE; 23,30   ;70%
CLAMOXYL;AMOXICILLINE;500;MG;COMPRIME DISPERSIBLE;1 BOITE 24 COMPRIME; 65,40   ;70%
CALCIUM ALKO;CALCIUM;0.87;%;SOLUTION INJECTABLE;5 AMPOULE 10 ML; 58,70   ;70%
AZ;AZITHROMYCINE;250;MG;GELULE;1 BOITE 6 GELULE; 137,70   ;70%
BACTROBAN;MUPIROCINE;2;%;POMMADE;1 TUBE 15 G; 59,75   ;0%
SPIBAC 3 MUI;SPIRAMYCINE;3;MUI;COMPRIME PELLICULE;1 BOITE 16 COMPRIME PELLICULE; 91,00   ;0%
ROVAMYCINE;SPIRAMYCINE;3;MUI;COMPRIME PELLICULE;1 BOITE 10 COMPRIME; 101,00   ;70%
RANIMAT;RANITIDINE;300;MG;COMPRIME;1 BOITE 14 COMPRIME; 59,00   ;70%
ANALGYL;IBUPROFENE;200;MG;COMPRIME ENROBE;1 BOITE 20 COMPRIME; 17,90   ;70%
HYPRIL;ENALAPRIL / HYDROCHLOROTHIAZIDE;20 / 12.5;MG / MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 71,50   ;70%
NEOCLAV;AMOXICILLINE / ACIDE CLAVULANIQUE;500 / 62.5;MG / MG;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 16 SACHET; 82,00   ;70%
AMUCHIN 10;CHLOROXYDANT / ELECTROLYTIQUE;0.11 / 1.8;G / G;SOLUTION POUR APPLICATION LOCALE;1 FLACON 1 L; 49,70   ;0%
ERBITUX 5 MG/ML;CETUXIMAB;5;MG/ML;SOLUTION POUR PERFUSION;1 FLACON 100 ML; -     ;0%
ERBITUX 5 MG/ML;CETUXIMAB;5;MG/ML;SOLUTION POUR PERFUSION;1 FLACON 100 ML; -     ;0%
VERASKIN;ALOE VERA;4;%;GEL;1 TUBE 80 G; 39,80   ;0%
ZOVAS;SIMVASTATINE;20;MG;COMPRIME ENROBE SECABLE;1 BOITE 30 COMPRIME PELLICULE; 124,00   ;70%
XYLONOR SPRAY;LIDOCAINE / CETRIMIDE;15 / 0.15;% / G/100G;SOLUTION DENTAIRE;1 FLACON 36 G; 200,00   ;0%
XYLONOR SPRAY;LIDOCAINE / CETRIMIDE;15 / 0.15;% / G/100G;SOLUTION DENTAIRE;1 FLACON 36 G; 200,00   ;0%
SURGAM;ACIDE TIAPROFENIQUE;200;MG;COMPRIME SECABLE;1 BOITE 20 COMPRIME; 55,40   ;70%
ASTAPH;FLUCLOXACILLINE;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 40,30   ;70%
TASIGNA 200MG;NILOTINIB;200;MG;CAPSULE;1 BOITE 112 CAPSULE; -     ;0%
TASIGNA 200MG;NILOTINIB;200;MG;CAPSULE;1 BOITE 112 CAPSULE; -     ;0%
AMOXIL;AMOXICILLINE;500;MG;GELULE;1 BOITE 12 GELULE; 47,75   ;70%
GLYCEMAT;GLICLAZIDE;80;MG;COMPRIME SECABLE;1 BOITE 20 COMPRIME; 26,70   ;70%
FLAGYL;METRONIDAZOLE;4;%;SUSPENSION BUVABLE;1 FLACON 120 ML; 32,90   ;70%
DAONIL;GLIBENCLAMIDE;5;MG;COMPRIME SECABLE;1 BOITE 20 COMPRIME; 25,20   ;70%
PEVARYL;ECONAZOLE;1;%;CREME;1 TUBE 30 G; 50,90   ;70%
ALER Z;CETIRIZINE;10;MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME PELLICULE; 84,00   ;70%
ARTOTEC;DICLOFENAC / MISOPROSTOL;50 / 0.2;MG / MG;COMPRIME GASTRO-RESISTANT;1 BOITE 30 COMPRIME; 95,00   ;0%
ASEPSIL 10;AMPHOLYTE G;10;G;SOLUTION POUR APPLICATION LOCALE;1 FLACON 250 ML; 20,60   ;0%
CURAM 1G/125MG;AMOXICILLINE / ACIDE CLAVULANIQUE;1 / 125;G / MG;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 16 SACHET; 116,00   ;0%
VITAMINE C;ACIDE ASCORBIQUE (VITAMINE C);1;G;COMPRIME EFFERVESCENT;1 BOITE 10 COMPRIME EFFERVESCENT; 14,80   ;0%
AMPICILLINE LLORENTE;AMPICILLINE;500;MG;GELULE;1 BOITE 12 GELULE; 36,70   ;70%
ICANAL RETARD;NICARDIPINE;40;MG;COMPRIME LP;1 BOITE 30 COMPRIME; 140,25   ;70%
ICANAL RETARD;NICARDIPINE;40;MG;COMPRIME LP;1 BOITE 30 COMPRIME; 140,25   ;70%
NOVEX;ENOXAPARINE;6000;UI ANTI-XA;SOLUTION INJECTABLE;2 SERINGUE .6 ML; 152,00   ;70%
CORDARONE;AMIODARONE;200;MG;COMPRIME SECABLE;1 BOITE 40 COMPRIME; 89,70   ;70%
DESTEC 0.5 MG/ML;DESLORATADINE;2.5;MG;SIROP;1 FLACON 100 ML; 36,00   ;0%
SEVREDOL;MORPHINE;10;MG;COMPRIME PELLICULE SECABLE;1 BOITE 14 COMPRIME; 35,00   ;70%
IOPIDINE;APRACLONIDINE;1;%;COLLYRE;1 BOITE 2 RECIPIENT; 184,00   ;70%
IOPIDINE;APRACLONIDINE;1;%;COLLYRE;1 BOITE 2 RECIPIENT; 184,00   ;70%
NOCAND 200 MG;FLUCONAZOLE;200;MG;GELULE;1 BOITE 7 GELULE; 98,00   ;0%
MYCOSTER;CICLOPIROXOLAMINE;1;%;SOLUTION POUR APPLICATION LOCALE;1 FLACON 30 ML; 43,50   ;70%
LEVEMIR PENF;INSULINE DETEMIR;100;UI;SOLUTION INJECTABLE LP;5 CARTOUCHE 3 ML; 906,00   ;70%
LEVEMIR PENF;INSULINE DETEMIR;100;UI;SOLUTION INJECTABLE LP;5 CARTOUCHE 3 ML; 906,00   ;70%
SYNNAX;LAMOTRIGINE;100;MG;COMPRIME;1 BOITE 60 COMPRIME; 370,00   ;70%
SYNNAX;LAMOTRIGINE;100;MG;COMPRIME;1 BOITE 60 COMPRIME; 370,00   ;70%
DUPLAMOX SANS SUCRE;AMOXICILLINE / BROMHEXINE;250 / 4;MG / MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 46,40   ;0%
DUPLAMOX SANS SUCRE;AMOXICILLINE / BROMHEXINE;250 / 4;MG / MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 46,40   ;0%
MAGNEVIST;GADOPENTETATE DE DIMEGLUMINE / GADOPENTETATE DE MEGLUMINE;469.01 / 0.99;MG / MG;SOLUTION INJECTABLE;1 FLACON 15 ML; 897,20   ;0%
CARDINOR;CARVEDILOL;25;MG;COMPRIME;1 BOITE 60 COMPRIME; 180,00   ;70%
CARDINOR;CARVEDILOL;25;MG;COMPRIME;1 BOITE 60 COMPRIME; 180,00   ;70%
GENTAMEN 10;GENTAMICINE;10;MG;SOLUTION INJECTABLE;1 BOITE 1 AMPOULE INJECTABLE; 6,70   ;70%
MIRCERA 200 µG/0.3 ML;EPOETINE BETA;200;µG;SOLUTION INJECTABLE;1 BOITE 1 SERINGUE PREREMPLIE; -     ;0%
OMEGEN;OMEPRAZOLE;20;MG;GELULE;1 BOITE 7 GELULE; 26,00   ;70%
PRIMALAN;MEQUITAZINE;1.25;MG;SOLUTION BUVABLE;1 FLACON 120 ML; 31,90   ;70%
CLARTEC;LORATADINE;0.1;%;SIROP;1 FLACON 120 ML; 47,00   ;70%
CLARTEC;LORATADINE;0.1;%;SIROP;1 FLACON 120 ML; 47,00   ;70%
SANDIMMUN;CICLOSPORINE;50;MG;CAPSULE MOLLE;1 BOITE 50 CAPSULE; 1 123,00   ;70%
ULCESTOP;CIMETIDINE;400;MG;COMPRIME;1 BOITE 60 COMPRIME; 131,60   ;70%
CILOXAN;CIPROFLOXACINE;0.3;%;POMMADE OPHTALMIQUE;1 TUBE 3.5 G; 60,00   ;70%
KETUM 2.5 %;KETOPROFENE;2.5;%;GEL;1 TUBE 30 G; 30,60   ;0%
ZERIT;STAVUDINE;30;MG;GELULE;1 BOITE 56 GELULE; 2 073,00   ;70%
CANDICID;FLUCONAZOLE;50;MG;GELULE;1 BOITE 7 GELULE; 130,00   ;70%
UNIZITRO;AZITHROMYCINE;200;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 30 ML; 77,00   ;70%
UNIZITRO;AZITHROMYCINE;200;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 30 ML; 77,00   ;70%
AURICULARUM;OXYTETRACYCLINE / POLYMYXINE B / NYSTATINE / DEXAMETHASONE;0.09 / 0.1 / 1 / 10;MUI / MUI / MUI / MG;POUDRE AURICULAIRE;1 BOITE 1 FLACON; 79,00   ;70%
STODAL;SOUCHE HOMEOPATHIQUE;;NA;SIROP;1 FLACON 200 ML; 28,00   ;0%
AZOLE;ALBENDAZOLE;400;MG;COMPRIME ENROBE;1 BOITE 1 COMPRIME; 21,30   ;70%
SEPTANEST ADRENALINEE;ARTICAINE;72;MG;SOLUTION INJECTABLE POUR USAGE DENTAIRE;1 BOITE 50 CARTOUCHE; 215,00   ;0%
RINGER LACTATE LAPROPHAN;CHLORURE DE SODIUM / CHLORURE DE POTASSIUM;600 / 40;MG / MG;SOLUTION POUR PERFUSION;1 FLACON 1 L; 44,10   ;0%
CARBOSYLANE;CHARBON ACTIVE / DIMETICONE;140 / 45;MG / MG;GELULE;1 BOITE 48 DOSE DE 2 GELULE JUMELEE; 74,00   ;0%
CEFAPEROS;CEFATRIZINE;500;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 170,10   ;70%
PANALGIC;PARACETAMOL / CAFEINE;500 / 50;MG / MG;COMPRIME;1 BOITE 16 COMPRIME; 15,00   ;0%
MYTELASE;AMBENONIUM;10;MG;COMPRIME SECABLE;1 BOITE 50 COMPRIME; 21,70   ;70%
MIBRAL;AMLODIPINE;10;MG;COMPRIME;1 BOITE 30 COMPRIME; 106,00   ;70%
TRASYLOL;APROTININE;0.5;MUI;SOLUTION INJECTABLE;1 FLACON 50 ML; 409,50   ;0%
DYNASTAT;PARECOXIB;20;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 10 FLACON; 457,00   ;0%
ORADEXON ELIXIR;DEXAMETHASONE;0.05;MG;SUSPENSION BUVABLE;1 FLACON 100 ML; 16,30   ;70%
NIFROZID;NIFUROXAZIDE;4;%;SUSPENSION BUVABLE;1 FLACON 90 ML; 19,60   ;70%
SKINOSALIC;BETAMETHASONE / ACIDE SALICYLIQUE;0.05 / 2;% / %;LOTION;1 FLACON 30 G; 34,70   ;0%
DALIBOUR;SULFATE DE CUIVRE / SULFATE DE ZINC;0.1 / 0.35;G / G;CREME;1 TUBE 20 G; 9,20   ;0%
SOMATOSTATINE;SOMATOSTATINE;3;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 3 205,00   ;70%
